,year,county_name,commodity_desc,value,percent
96,1931.0,DICKEY,CORN,64000.0,0.13646055437100213
97,1931.0,DICKEY,NOT CORN,405000.0,0.8635394456289979
98,1931.0,LA MOURE,CORN,46000.0,0.07210031347962383
99,1931.0,LA MOURE,NOT CORN,592000.0,0.927899686520376
100,1931.0,LOGAN,CORN,7000.0,0.014767932489451475
101,1931.0,LOGAN,NOT CORN,467000.0,0.9852320675105484
102,1931.0,MCINTOSH,CORN,13000.0,0.02685950413223141
103,1931.0,MCINTOSH,NOT CORN,471000.0,0.9731404958677686
104,1932.0,DICKEY,CORN,60000.0,0.13513513513513514
105,1932.0,DICKEY,NOT CORN,384000.0,0.8648648648648649
106,1932.0,LA MOURE,CORN,35000.0,0.060869565217391314
107,1932.0,LA MOURE,NOT CORN,540000.0,0.9391304347826088
108,1932.0,LOGAN,CORN,9000.0,0.018442622950819672
109,1932.0,LOGAN,NOT CORN,479000.0,0.9815573770491804
110,1932.0,MCINTOSH,CORN,10000.0,0.02092050209205021
111,1932.0,MCINTOSH,NOT CORN,468000.0,0.9790794979079498
112,1933.0,DICKEY,CORN,69000.0,0.2292358803986711
113,1933.0,DICKEY,NOT CORN,232000.0,0.7707641196013291
114,1933.0,LA MOURE,CORN,52000.0,0.10038610038610038
115,1933.0,LA MOURE,NOT CORN,466000.0,0.8996138996138996
116,1933.0,LOGAN,CORN,9000.0,0.022388059701492536
117,1933.0,LOGAN,NOT CORN,393000.0,0.9776119402985076
118,1933.0,MCINTOSH,CORN,12000.0,0.03389830508474576
119,1933.0,MCINTOSH,NOT CORN,342000.0,0.9661016949152542
120,1934.0,DICKEY,CORN,43000.0,0.6935483870967742
121,1934.0,DICKEY,NOT CORN,19000.0,0.3064516129032258
122,1934.0,LA MOURE,CORN,52000.0,0.23008849557522126
123,1934.0,LA MOURE,NOT CORN,174000.0,0.7699115044247787
124,1934.0,LOGAN,CORN,12000.0,0.3428571428571429
125,1934.0,LOGAN,NOT CORN,23000.0,0.6571428571428571
126,1934.0,MCINTOSH,CORN,7000.0,0.6363636363636364
127,1934.0,MCINTOSH,NOT CORN,4000.0,0.3636363636363637
128,1935.0,DICKEY,CORN,48000.0,0.12903225806451613
129,1935.0,DICKEY,NOT CORN,324000.0,0.8709677419354839
130,1935.0,LA MOURE,CORN,37000.0,0.08096280087527352
131,1935.0,LA MOURE,NOT CORN,420000.0,0.9190371991247264
132,1935.0,LOGAN,CORN,12000.0,0.040540540540540536
133,1935.0,LOGAN,NOT CORN,284000.0,0.9594594594594594
134,1935.0,MCINTOSH,CORN,15000.0,0.049180327868852465
135,1935.0,MCINTOSH,NOT CORN,290000.0,0.9508196721311476
136,1936.0,DICKEY,CORN,32000.0,0.3902439024390244
137,1936.0,DICKEY,NOT CORN,50000.0,0.6097560975609756
138,1936.0,LA MOURE,CORN,26000.0,0.37681159420289856
139,1936.0,LA MOURE,NOT CORN,43000.0,0.6231884057971014
140,1936.0,LOGAN,CORN,1000.0,0.14285714285714285
141,1936.0,LOGAN,NOT CORN,6000.0,0.8571428571428571
142,1936.0,MCINTOSH,CORN,1000.0,0.1
143,1936.0,MCINTOSH,NOT CORN,9000.0,0.9
144,1937.0,DICKEY,CORN,35000.0,0.13307984790874525
145,1937.0,DICKEY,NOT CORN,228000.0,0.8669201520912547
146,1937.0,LA MOURE,CORN,24000.0,0.0636604774535809
