year,county_name,commodity_desc,value
1936.0,MCINTOSH,NOT CORN,9000.0
1937.0,DICKEY,CORN,35000.0
1937.0,DICKEY,NOT CORN,228000.0
1937.0,LA MOURE,CORN,24000.0
1937.0,LA MOURE,NOT CORN,353000.0
1937.0,LOGAN,CORN,5000.0
1937.0,LOGAN,NOT CORN,192000.0
1937.0,MCINTOSH,CORN,4000.0
1937.0,MCINTOSH,NOT CORN,167000.0
1938.0,DICKEY,CORN,39000.0
1938.0,DICKEY,NOT CORN,112000.0
1938.0,LA MOURE,CORN,30000.0
1938.0,LA MOURE,NOT CORN,228000.0
1938.0,LOGAN,CORN,8000.0
1938.0,LOGAN,NOT CORN,231000.0
1938.0,MCINTOSH,CORN,10000.0
1938.0,MCINTOSH,NOT CORN,61000.0
1939.0,DICKEY,CORN,43000.0
1939.0,DICKEY,NOT CORN,226000.0
1939.0,LA MOURE,CORN,33000.0
1939.0,LA MOURE,NOT CORN,342000.0
1939.0,LOGAN,CORN,8000.0
1939.0,LOGAN,NOT CORN,249000.0
1939.0,MCINTOSH,CORN,12000.0
1939.0,MCINTOSH,NOT CORN,233000.0
1940.0,DICKEY,CORN,45400.0
1940.0,DICKEY,NOT CORN,274000.0
1940.0,LA MOURE,CORN,29000.0
1940.0,LA MOURE,NOT CORN,388000.0
1940.0,LOGAN,CORN,6800.0
1940.0,LOGAN,NOT CORN,308000.0
1940.0,MCINTOSH,CORN,13100.0
1940.0,MCINTOSH,NOT CORN,320000.0
1941.0,DICKEY,CORN,49800.0
1941.0,DICKEY,NOT CORN,300000.0
1941.0,LA MOURE,CORN,31300.0
1941.0,LA MOURE,NOT CORN,429000.0
1941.0,LOGAN,CORN,6800.0
1941.0,LOGAN,NOT CORN,314000.0
1941.0,MCINTOSH,CORN,12100.0
1941.0,MCINTOSH,NOT CORN,340000.0
1942.0,DICKEY,CORN,49600.0
1942.0,DICKEY,NOT CORN,310100.0
1942.0,LA MOURE,CORN,29100.0
1942.0,LA MOURE,NOT CORN,421300.0
1942.0,LOGAN,CORN,5700.0
1942.0,LOGAN,NOT CORN,315200.0
1942.0,MCINTOSH,CORN,10400.0
1942.0,MCINTOSH,NOT CORN,351500.0
1943.0,DICKEY,CORN,43000.0
1943.0,DICKEY,NOT CORN,293700.0
1943.0,LA MOURE,CORN,26500.0
1943.0,LA MOURE,NOT CORN,501600.0
1943.0,LOGAN,CORN,4800.0
1943.0,LOGAN,NOT CORN,364700.0
1943.0,MCINTOSH,CORN,10200.0
1943.0,MCINTOSH,NOT CORN,407600.0
1944.0,DICKEY,CORN,57200.0
1944.0,DICKEY,NOT CORN,295600.0
1944.0,LA MOURE,CORN,31600.0
1944.0,LA MOURE,NOT CORN,523900.0
1944.0,LOGAN,CORN,5000.0
1944.0,LOGAN,NOT CORN,403100.0
1944.0,MCINTOSH,CORN,9700.0
1944.0,MCINTOSH,NOT CORN,438000.0
1945.0,DICKEY,CORN,53000.0
1945.0,DICKEY,NOT CORN,324500.0
1945.0,LA MOURE,CORN,35000.0
1945.0,LA MOURE,NOT CORN,531100.0
1945.0,LOGAN,CORN,4500.0
1945.0,LOGAN,NOT CORN,395200.0
1945.0,MCINTOSH,CORN,8500.0
1945.0,MCINTOSH,NOT CORN,461500.0
1946.0,DICKEY,CORN,45000.0
1946.0,DICKEY,NOT CORN,344000.0
1946.0,LA MOURE,CORN,34000.0
1946.0,LA MOURE,NOT CORN,540000.0
1946.0,LOGAN,CORN,3800.0
1946.0,LOGAN,NOT CORN,399200.0
1946.0,MCINTOSH,CORN,6500.0
1946.0,MCINTOSH,NOT CORN,452200.0
1947.0,DICKEY,CORN,43500.0
1947.0,DICKEY,NOT CORN,380000.0
1947.0,LA MOURE,CORN,35000.0
1947.0,LA MOURE,NOT CORN,549000.0
1947.0,LOGAN,CORN,4300.0
1947.0,LOGAN,NOT CORN,415500.0
1947.0,MCINTOSH,CORN,6700.0
1947.0,MCINTOSH,NOT CORN,467700.0
1948.0,DICKEY,CORN,39000.0
1948.0,DICKEY,NOT CORN,547400.0
1948.0,LA MOURE,CORN,31500.0
1948.0,LA MOURE,NOT CORN,679700.0
1948.0,LOGAN,CORN,5000.0
1948.0,LOGAN,NOT CORN,570000.0
1948.0,MCINTOSH,CORN,6000.0
1948.0,MCINTOSH,NOT CORN,580500.0
1949.0,DICKEY,CORN,46700.0
1949.0,DICKEY,NOT CORN,943000.0
1949.0,LA MOURE,CORN,38100.0
1949.0,LA MOURE,NOT CORN,1422000.0
1949.0,LOGAN,CORN,8500.0
1949.0,LOGAN,NOT CORN,1280000.0
1949.0,MCINTOSH,CORN,10000.0
1949.0,MCINTOSH,NOT CORN,1320900.0
1950.0,DICKEY,CORN,50500.0
1950.0,DICKEY,NOT CORN,870000.0
1950.0,LA MOURE,CORN,40500.0
1950.0,LA MOURE,NOT CORN,1203000.0
1950.0,LOGAN,CORN,14500.0
1950.0,LOGAN,NOT CORN,1033400.0
1950.0,MCINTOSH,CORN,18000.0
1950.0,MCINTOSH,NOT CORN,1125000.0
1951.0,DICKEY,CORN,46500.0
1951.0,DICKEY,NOT CORN,989000.0
1951.0,LA MOURE,CORN,39500.0
1951.0,LA MOURE,NOT CORN,1434500.0
1951.0,LOGAN,CORN,13500.0
1951.0,LOGAN,NOT CORN,1152000.0
1951.0,MCINTOSH,CORN,18500.0
1951.0,MCINTOSH,NOT CORN,1231500.0
1952.0,DICKEY,CORN,36000.0
1952.0,DICKEY,NOT CORN,951000.0
1952.0,LA MOURE,CORN,30000.0
1952.0,LA MOURE,NOT CORN,1284000.0
1952.0,LOGAN,CORN,9500.0
1952.0,LOGAN,NOT CORN,1088000.0
1952.0,MCINTOSH,CORN,13000.0
1952.0,MCINTOSH,NOT CORN,1170200.0
1953.0,DICKEY,CORN,36500.0
1953.0,DICKEY,NOT CORN,939000.0
1953.0,LA MOURE,CORN,36000.0
1953.0,LA MOURE,NOT CORN,1369500.0
1953.0,LOGAN,CORN,12000.0
1953.0,LOGAN,NOT CORN,1086000.0
1953.0,MCINTOSH,CORN,17000.0
1953.0,MCINTOSH,NOT CORN,1096400.0
1954.0,DICKEY,CORN,43500.0
1954.0,DICKEY,NOT CORN,858900.0
1954.0,LA MOURE,CORN,37900.0
1954.0,LA MOURE,NOT CORN,1222800.0
1954.0,LOGAN,CORN,15600.0
1954.0,LOGAN,NOT CORN,951750.0
1954.0,MCINTOSH,CORN,16700.0
1954.0,MCINTOSH,NOT CORN,1038250.0
1955.0,DICKEY,CORN,47000.0
1955.0,DICKEY,NOT CORN,785450.0
1955.0,LA MOURE,CORN,42000.0
1955.0,LA MOURE,NOT CORN,1120300.0
1955.0,LOGAN,CORN,15000.0
1955.0,LOGAN,NOT CORN,873100.0
1955.0,MCINTOSH,CORN,18000.0
1955.0,MCINTOSH,NOT CORN,979600.0
1956.0,DICKEY,CORN,48600.0
1956.0,DICKEY,NOT CORN,899200.0
1956.0,LA MOURE,CORN,41800.0
1956.0,LA MOURE,NOT CORN,1309300.0
1956.0,LOGAN,CORN,13000.0
1956.0,LOGAN,NOT CORN,928900.0
1956.0,MCINTOSH,CORN,15400.0
1956.0,MCINTOSH,NOT CORN,1023300.0
1957.0,DICKEY,CORN,38200.0
1957.0,DICKEY,NOT CORN,855000.0
1957.0,LA MOURE,CORN,21400.0
1957.0,LA MOURE,NOT CORN,1169700.0
1957.0,LOGAN,CORN,2200.0
1957.0,LOGAN,NOT CORN,859000.0
1957.0,MCINTOSH,CORN,6900.0
1957.0,MCINTOSH,NOT CORN,987000.0
1958.0,DICKEY,CORN,36000.0
1958.0,DICKEY,NOT CORN,925900.0
1958.0,LA MOURE,CORN,19000.0
1958.0,LA MOURE,NOT CORN,1181200.0
1958.0,LOGAN,CORN,2000.0
1958.0,LOGAN,NOT CORN,864000.0
1958.0,MCINTOSH,CORN,3000.0
1958.0,MCINTOSH,NOT CORN,1010000.0
1959.0,DICKEY,CORN,46000.0
1959.0,DICKEY,NOT CORN,840400.0
1959.0,LA MOURE,CORN,39000.0
1959.0,LA MOURE,NOT CORN,1170800.0
1959.0,LOGAN,CORN,14500.0
1959.0,LOGAN,NOT CORN,947100.0
1959.0,MCINTOSH,CORN,13500.0
1959.0,MCINTOSH,NOT CORN,1057500.0
1960.0,DICKEY,CORN,42400.0
1960.0,DICKEY,NOT CORN,842800.0
1960.0,LA MOURE,CORN,36000.0
1960.0,LA MOURE,NOT CORN,1075200.0
1960.0,LOGAN,CORN,17000.0
1960.0,LOGAN,NOT CORN,921000.0
1960.0,MCINTOSH,CORN,15500.0
1960.0,MCINTOSH,NOT CORN,1038000.0
1961.0,DICKEY,CORN,35000.0
1961.0,DICKEY,NOT CORN,862500.0
1961.0,LA MOURE,CORN,30000.0
1961.0,LA MOURE,NOT CORN,1172300.0
1961.0,LOGAN,CORN,17000.0
1961.0,LOGAN,NOT CORN,728000.0
1961.0,MCINTOSH,CORN,13300.0
1961.0,MCINTOSH,NOT CORN,956000.0
1962.0,DICKEY,CORN,33000.0
1962.0,DICKEY,NOT CORN,751800.0
1962.0,LA MOURE,CORN,32000.0
1962.0,LA MOURE,NOT CORN,963100.0
1962.0,LOGAN,CORN,18000.0
1962.0,LOGAN,NOT CORN,738500.0
1962.0,MCINTOSH,CORN,15500.0
1962.0,MCINTOSH,NOT CORN,827500.0
1963.0,DICKEY,CORN,39000.0
1963.0,DICKEY,NOT CORN,750200.0
1963.0,LA MOURE,CORN,35000.0
1963.0,LA MOURE,NOT CORN,988000.0
1963.0,LOGAN,CORN,17300.0
1963.0,LOGAN,NOT CORN,768000.0
1963.0,MCINTOSH,CORN,13700.0
1963.0,MCINTOSH,NOT CORN,868500.0
1964.0,DICKEY,CORN,39000.0
1964.0,DICKEY,NOT CORN,753600.0
1964.0,LA MOURE,CORN,34900.0
1964.0,LA MOURE,NOT CORN,1068300.0
1964.0,LOGAN,CORN,18000.0
1964.0,LOGAN,NOT CORN,857400.0
1964.0,MCINTOSH,CORN,15300.0
1964.0,MCINTOSH,NOT CORN,972000.0
1965.0,DICKEY,CORN,36000.0
1965.0,DICKEY,NOT CORN,739100.0
1965.0,LA MOURE,CORN,32000.0
1965.0,LA MOURE,NOT CORN,1081600.0
1965.0,LOGAN,CORN,14800.0
1965.0,LOGAN,NOT CORN,871600.0
1965.0,MCINTOSH,CORN,11800.0
1965.0,MCINTOSH,NOT CORN,975800.0
1966.0,DICKEY,CORN,34000.0
1966.0,DICKEY,NOT CORN,762000.0
1966.0,LA MOURE,CORN,25000.0
1966.0,LA MOURE,NOT CORN,1098800.0
1966.0,LOGAN,CORN,13600.0
1966.0,LOGAN,NOT CORN,857600.0
1966.0,MCINTOSH,CORN,10900.0
1966.0,MCINTOSH,NOT CORN,966800.0
1967.0,DICKEY,CORN,34300.0
1967.0,DICKEY,NOT CORN,834500.0
1967.0,LA MOURE,CORN,24000.0
1967.0,LA MOURE,NOT CORN,1218800.0
1967.0,LOGAN,CORN,11500.0
1967.0,LOGAN,NOT CORN,943100.0
1967.0,MCINTOSH,CORN,10200.0
1967.0,MCINTOSH,NOT CORN,1061300.0
1968.0,DICKEY,CORN,30900.0
1968.0,DICKEY,NOT CORN,858400.0
1968.0,LA MOURE,CORN,21700.0
1968.0,LA MOURE,NOT CORN,1248600.0
1968.0,LOGAN,CORN,10200.0
1968.0,LOGAN,NOT CORN,929500.0
1968.0,MCINTOSH,CORN,7400.0
1968.0,MCINTOSH,NOT CORN,1061500.0
1969.0,DICKEY,CORN,23600.0
1969.0,DICKEY,NOT CORN,763300.0
1969.0,LA MOURE,CORN,17900.0
1969.0,LA MOURE,NOT CORN,1081300.0
1969.0,LOGAN,CORN,7300.0
1969.0,LOGAN,NOT CORN,782000.0
1969.0,MCINTOSH,CORN,6000.0
1969.0,MCINTOSH,NOT CORN,788200.0
1970.0,DICKEY,CORN,23400.0
1970.0,DICKEY,NOT CORN,730700.0
